legacy_id,unit_id,label,source_path,source_sha256,pointer,category,organization_id,product_id,version,version_status,deployment_status,normalization_status,split_rule,evaluation_role,uncertainty,economic_functions,instruments,mechanisms,execution,trust
legacy:lane2:c3:p2,unit:lane2:c3:p2,OKX DEX,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/2,Intents / aggregation / order flow,org:okx-dex,product:lane2:c3:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange"", ""payments_settlement""]","[""spot_asset""]","[""routing""]","[""async_cross_domain""]",[]
legacy:lane2:c3:p3,unit:lane2:c3:p3,Jupiter,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/3,Intents / aggregation / order flow,org:jupiter,product:lane2:c3:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""routing""]","[""solana_transaction""]","[""keeper""]"
legacy:lane2:c3:p4,unit:lane2:c3:p4,KyberSwap,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/4,Intents / aggregation / order flow,org:kyberswap,product:lane2:c3:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""routing""]",[],[]
legacy:lane2:c3:p5,unit:lane2:c3:p5,DFlow,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/5,Intents / aggregation / order flow,org:dflow,product:lane2:c3:p5,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""auction"", ""routing""]","[""solana_transaction""]","[""attester""]"
legacy:lane2:c3:p6,unit:lane2:c3:p6,1inch,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/6,Intents / aggregation / order flow,org:1inch,product:lane2:c3:p6,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange"", ""payments_settlement""]","[""spot_asset""]","[""auction"", ""routing"", ""staking""]","[""async_cross_domain""]",[]
legacy:lane2:c3:p7,unit:lane2:c3:p7,CoW Swap,corpus50/lanes/lane2-perps-yield-bridges-intents.json,cca6b4cccd9e75cf70a1e4dcb291562810a7ab22b52071295ce2479af03364f6,/categories/3/protocols/7,Intents / aggregation / order flow,org:cow-swap,product:lane2:c3:p7,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""exchange""]","[""spot_asset""]","[""auction"", ""routing""]",[],[]
legacy:lane3:c0:p0,unit:lane3:c0:p0:usdy,Ondo USDY,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/0,RWA / tokenised treasuries & private credit,org:ondo-finance,product:lane3:c0:p0:usdy,,unresolved,unresolved,split_candidate,explicit-product-split,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""Parent-row elements, residue and forced fits are bundled context; they are not copied as child-specific facts.""]","[""credit"", ""offchain_claims""]","[""debt_claim""]","[""collateralization"", ""mint_burn""]","[""offchain_legal_settlement""]","[""curator"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c0:p0,unit:lane3:c0:p0:ousg,Ondo OUSG,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/0,RWA / tokenised treasuries & private credit,org:ondo-finance,product:lane3:c0:p0:ousg,,unresolved,unresolved,split_candidate,explicit-product-split,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""Parent-row elements, residue and forced fits are bundled context; they are not copied as child-specific facts.""]","[""asset_management"", ""offchain_claims""]","[""fund_share""]","[""allocation""]",[],"[""curator""]"
legacy:lane3:c0:p0,unit:lane3:c0:p0:global-markets,Ondo Global Markets,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/0,RWA / tokenised treasuries & private credit,org:ondo-finance,product:lane3:c0:p0:global-markets,,unresolved,unresolved,split_candidate,explicit-product-split,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""Parent-row elements, residue and forced fits are bundled context; they are not copied as child-specific facts.""]","[""offchain_claims""]",[],[],[],[]
legacy:lane3:c0:p1,unit:lane3:c0:p1,Circle USYC (Hashnote International Short Duration Yield Fund Ltd.),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/1,RWA / tokenised treasuries & private credit,org:circle-usyc-hashnote-international-short-duration-yield-fund-ltd,product:lane3:c0:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""offchain_claims""]","[""fund_share""]","[""allocation"", ""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""curator"", ""custodian"", ""issuer"", ""legal_obligor"", ""oracle""]"
legacy:lane3:c0:p2,unit:lane3:c0:p2,"BlackRock BUIDL (BlackRock USD Institutional Digital Liquidity Fund, via Securitize)",corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/2,RWA / tokenised treasuries & private credit,org:blackrock-buidl-blackrock-usd-institutional-digital-liquidity-fund-via-securitize,product:lane3:c0:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""offchain_claims""]","[""fund_share""]","[""allocation"", ""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""curator"", ""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c0:p3,unit:lane3:c0:p3,Maple Finance (syrupUSDC / syrupUSDT + institutional pools),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/3,RWA / tokenised treasuries & private credit,org:maple,product:lane3:c0:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""asset_management"", ""credit"", ""offchain_claims""]","[""debt_claim"", ""vault_share""]","[""allocation"", ""collateralization"", ""custody"", ""redemption""]","[""offchain_legal_settlement""]","[""curator"", ""custodian"", ""legal_obligor""]"
legacy:lane3:c0:p4,unit:lane3:c0:p4,Centrifuge (Centrifuge Protocol V3),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/0/protocols/4,RWA / tokenised treasuries & private credit,org:centrifuge-centrifuge-protocol-v3,product:lane3:c0:p4,V3,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""credit"", ""offchain_claims""]","[""debt_claim"", ""fund_share""]","[""allocation"", ""custody""]","[""async_cross_domain"", ""offchain_legal_settlement""]","[""curator"", ""custodian"", ""legal_obligor"", ""oracle""]"
legacy:lane3:c1:p0,unit:lane3:c1:p0,Derive (formerly Lyra V2),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/1/protocols/0,Options / structured products,org:derive-formerly-lyra-v2,product:lane3:c1:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""option""]","[""collateralization"", ""order_book""]","[""offchain_matched_onchain_settled""]","[""oracle"", ""sequencer""]"
legacy:lane3:c1:p1,unit:lane3:c1:p1,Rysk V12,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/1/protocols/1,Options / structured products,org:rysk-v12,product:lane3:c1:p1,V12,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""derivatives""]","[""option"", ""vault_share""]","[""allocation""]",[],[]
legacy:lane3:c1:p2,unit:lane3:c1:p2,Hegic,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/1/protocols/2,Options / structured products,org:hegic,product:lane3:c1:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""derivatives""]","[""option"", ""vault_share""]",[],[],[]
legacy:lane3:c1:p3,unit:lane3:c1:p3,Aevo (Ribbon Finance lineage),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/1/protocols/3,Options / structured products,org:aevo-ribbon-finance-lineage,product:lane3:c1:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""derivatives""]","[""option"", ""vault_share""]","[""auction"", ""collateralization"", ""order_book""]","[""async_cross_domain"", ""offchain_matched_onchain_settled""]","[""oracle"", ""sequencer""]"
legacy:lane3:c1:p4,unit:lane3:c1:p4,Panoptic V2,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/1/protocols/4,Options / structured products,org:panoptic-v2,product:lane3:c1:p4,V2,source_label,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""credit"", ""derivatives""]","[""option""]",[],[],[]
legacy:lane3:c2:p0,unit:lane3:c2:p0,Tether USDT,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/2/protocols/0,Reserve-backed / fiat stablecoin issuers,org:tether-usdt,product:lane3:c2:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""money"", ""offchain_claims""]","[""stablecoin""]","[""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""attester"", ""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c2:p1,unit:lane3:c2:p1,Circle USDC,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/2/protocols/1,Reserve-backed / fiat stablecoin issuers,org:circle-usdc,product:lane3:c2:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""money"", ""offchain_claims""]","[""stablecoin""]","[""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""attester"", ""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c2:p2,unit:lane3:c2:p2,World Liberty Financial USD1,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/2/protocols/2,Reserve-backed / fiat stablecoin issuers,org:world-liberty-financial-usd1,product:lane3:c2:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""money"", ""offchain_claims""]","[""stablecoin""]","[""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""attester"", ""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c2:p3,unit:lane3:c2:p3,Global Dollar USDG (Paxos / Global Dollar Network),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/2/protocols/3,Reserve-backed / fiat stablecoin issuers,org:global-dollar-usdg-paxos-global-dollar-network,product:lane3:c2:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity."", ""The source name may bundle products or wrappers; additional splitting is unresolved.""]","[""money"", ""offchain_claims""]","[""stablecoin""]","[""custody"", ""mint_burn"", ""redemption""]","[""offchain_legal_settlement""]","[""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c2:p4,unit:lane3:c2:p4,PayPal USD (PYUSD),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/2/protocols/4,Reserve-backed / fiat stablecoin issuers,org:paypal-usd-pyusd,product:lane3:c2:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""money"", ""offchain_claims"", ""payments_settlement""]","[""stablecoin""]","[""custody"", ""mint_burn"", ""redemption""]","[""async_cross_domain"", ""offchain_legal_settlement""]","[""custodian"", ""issuer"", ""legal_obligor""]"
legacy:lane3:c3:p0,unit:lane3:c3:p0,Kalshi,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/3/protocols/0,Prediction markets & other (uncategorized large protocols),org:kalshi,product:lane3:c3:p0,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""prediction""]","[""event_claim""]","[""collateralization"", ""custody"", ""order_book""]","[""offchain_legal_settlement""]","[""custodian"", ""legal_obligor""]"
legacy:lane3:c3:p1,unit:lane3:c3:p1,Polymarket,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/3/protocols/1,Prediction markets & other (uncategorized large protocols),org:polymarket,product:lane3:c3:p1,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""prediction""]","[""event_claim""]","[""collateralization"", ""mint_burn"", ""oracle_dispute"", ""order_book"", ""redemption""]","[""offchain_matched_onchain_settled""]","[""oracle""]"
legacy:lane3:c3:p2,unit:lane3:c3:p2,Azuro,corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/3/protocols/2,Prediction markets & other (uncategorized large protocols),org:azuro,product:lane3:c3:p2,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""prediction""]","[""event_claim"", ""vault_share""]","[""allocation"", ""amm""]",[],"[""oracle""]"
legacy:lane3:c3:p3,unit:lane3:c3:p3,Steakhouse Financial (Risk Curators),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/3/protocols/3,Prediction markets & other (uncategorized large protocols),org:steakhouse-financial,product:lane3:c3:p3,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management""]","[""vault_share""]","[""allocation""]",[],"[""curator""]"
legacy:lane3:c3:p4,unit:lane3:c3:p4,Grove Finance (Onchain Capital Allocator),corpus50/lanes/lane3-rwa-options-stables-prediction.json,94195e7144eb707a7cbe34e4adcbaeeb234a572d7ac485e89ed2636059452820,/categories/3/protocols/4,Prediction markets & other (uncategorized large protocols),org:grove-finance-onchain-capital-allocator,product:lane3:c3:p4,,unresolved,unresolved,needs_identity_review,identity-candidate,development,"[""Deployment chain, address and source-code revision are unresolved."", ""Organization is a corpus label grouping, not a verified legal entity.""]","[""asset_management"", ""offchain_claims""]",[],"[""allocation"", ""redemption""]","[""async_cross_domain"", ""offchain_legal_settlement""]","[""curator"", ""legal_obligor""]"
